rid,ri_stratum
5e872f10-cf95-bab1-0b1d-4170891e14b3,92
5e872f21-613c-41c2-ff86-8abb341984b7,47
5e872f23-e14b-b224-778d-31fbcebed316,46
5e872f2c-1b5d-7fa7-035c-e31dc1ee316f,40
5e872f49-6c30-00f9-cafc-66273f7973ad,57
5e872f58-753a-7bd2-f7c0-af4792774ed9,57
5e872f66-8931-c1e8-af1c-d2596045f973,76
5e872f75-aedd-f4dc-87cf-40bafe48101a,20
5e872f7f-3f9e-32aa-4176-42a7e9b7ab49,65
5e872f87-7502-96fe-68af-6698f5a96baf,69
5e872f8d-b0b3-ace4-5acc-f5353175b6db,40
5e872f91-d366-c440-aee2-98b6bd3f45e4,35
5e872f96-0459-1de0-8fd7-bbf871ad568d,14
5e872f97-72b9-990a-6542-b19254fa0005,44
5e872f99-f32e-133d-dc38-f8bfee468ac4,23
5e872f9e-5790-7d28-8a13-92cf0f08c5cc,83
5e872fa8-9508-a0da-5bca-7c19d6f4fdba,57
5e872fae-2256-4de9-8eeb-f1d85faff93f,71
5e872fb1-b6a1-b256-4d37-7ae5ea9fbba4,32
5e872fb2-68c7-a055-8850-609f931b6310,35
5e872fc6-6b81-af6d-dbbd-7f9dcd422dc9,33
5e872fce-f7d9-380d-324a-bcbd7c2ece69,33
5e872fd1-2023-9c4b-bebc-4620f0e09218,69
5e872fd8-aa37-440a-955b-9ea701051330,64
5e872ff4-cc77-b7a0-64a2-1b160c93317c,80
5e873000-fb2c-68bf-41f1-6e782c1dfc4a,49
5e873003-59a2-9595-28cf-f0b4f5450376,72
5e873006-94df-a38c-8d94-37e5ceb77556,33
5e87300b-5fd0-f258-e628-434b9080b2e6,23
5e87300f-d406-cae0-63b6-ba50cf0f8883,40
5e873013-1909-263c-d9f9-8b6639b5fd52,67
5e873014-51df-15a4-8404-05ae2fde852a,44
5e873014-cc52-f31a-b3ed-cdc49c0b295f,78
5e87301c-afe3-4809-9b31-7a4ade20b809,109
5e87301d-55f3-7830-68f3-7b605e492ff8,20
5e873020-e40b-0edf-b126-f86914dec3cf,46
5e873023-ba68-9c9d-0ea9-ab769d907b9e,72
5e873028-94b4-0be4-45b3-951870c70366,33
5e873032-5eed-1035-ec18-5c5e40cee120,72
5e873033-6e91-4406-908f-36d0feb7c579,71
5e873037-a4cd-bffc-a230-cdd4addd3b12,80
5e873045-1258-6cd3-e7ae-8cbe645231f5,65
5e873049-3aca-f404-f48c-19952abb9348,47
5e87304c-6d2b-29ba-9cad-5e4bf7113cf3,75
5e87304d-fccc-eaea-6731-4f292b7c4f1c,69
5e873055-fd0f-e664-0644-8905a6d9b3b4,63
5e87305c-0279-4940-0fb1-01d86372073d,77
5e873070-07e9-fd19-e64c-8e6d3f9a3833,67
5e873079-d018-ff63-4cc3-3d2432361a43,64
5e87308f-02cc-591e-6c5d-319335011510,129
5e87308f-4b74-f0ba-4a68-1c0c45d8e5da,74
5e873094-0267-5cd6-e8b4-9743db29ee6e,71
5e8730a2-151d-ae80-1d1b-08aed7003bed,46
5e8730ab-f4ac-80a4-6ba8-0c27a1b739e5,24
5e8730b3-6072-ed2c-88a2-0ac17f07c6ce,35
5e8730b7-08c2-abfd-b160-6a6aba91def2,52
5e8730bc-866b-6349-dd49-f7fcb66c774d,76
5e8730c5-8e4f-2453-d58c-16bb9a55be95,74
5e8730c8-7258-6fa6-a239-dc1e74bb80a3,50
5e8730c8-f236-2844-8e14-feadc0118d23,79
5e8730d4-c532-353a-c058-edd833d61db0,80
5e8730db-011e-2bc8-77c3-65c7d53a190e,73
5e8730e4-bb35-37c3-78c4-177e23f659a6,73
5e8730e8-4a26-7330-0651-a38fc8493d51,16
5e8730ed-8898-574a-85e9-0ff5f8684d12,80
5e8730f0-a2aa-a6c1-1197-5f61011dc232,76
5e8730fa-5540-53fa-a29f-f25d609f216b,69
5e8730fc-53f3-1b61-b0f2-1dc2dcd65620,52
5e8730ff-04e1-dc30-26ff-771698479981,64
5e873101-8969-961b-a8ca-0e99cacef3b8,20
5e87310d-32d6-3bb7-8719-393f7fb5108f,44
5e87310d-c545-f876-43c6-63ba1d86f446,68
5e87310f-dcf4-33ae-04bc-814f83b04d9f,78
5e873116-a251-c075-3169-71b6a48000db,47
5e873119-123a-3916-0d08-7924a67b6e49,39
5e87311a-5f20-554a-d0e5-7dba637858d9,77
5e873126-53f0-f699-4d93-ea13a6a838af,8
5e87312f-3ed4-be5b-8f18-1da73fd3c36a,24
5e873130-6360-da5e-9d2d-7ef3d6bf2359,92
5e87313d-1c48-5a0e-80ef-92d74b9f2ded,67
5e87314e-ccc0-29ee-21e7-18add51e284f,74
5e87314f-bb62-b008-eade-2828879556ac,23
5e873153-02ba-c8f9-b123-f449a47896f5,79
5e87316d-00ac-3eaf-5b1a-497a2dd1799f,59
5e873171-1284-3e8e-9d9e-6c1bc01e15d6,24
5e873176-31cc-714a-9394-079c6542b39d,35
5e873182-5e4a-08e4-905b-4c953e80b058,75
5e873187-b412-24cf-61b3-f25a765ce7e7,71
5e87318c-8274-cc36-cbfc-8dd39fb03f9a,73
5e87318f-a28d-a369-5c8e-34d838ec80d5,32
5e87318f-b59c-3c0b-49ac-77df86992ea1,14
5e87318f-f745-26b8-069e-8801cc4a0756,83
5e873190-9501-992a-c406-d7df5c7c7d40,79
5e87319b-6ae3-0a61-3a3f-829a47481960,46
5e8731a5-8df6-f2ba-e839-79556978638f,73
5e8731bb-28e9-322a-8626-0cf9af1bdc21,55
5e8731c3-3710-8d04-786f-22b989ac2747,67
5e8731ca-4cc9-933a-591c-0c80da298b74,16
5e8731cd-b9fa-2a98-8111-612eb0ff6485,129
5e8731d5-0969-1ea1-31f5-69f9d79d9023,92
5e8731d7-0111-81b8-1ec6-8e70f7a17cb9,77
5e8731e1-5434-ffb1-a97b-b3a9323e72af,65
5e8731e4-a210-bd24-797f-5b54af50074a,68
5e8731e8-f1ee-40f8-789f-e5b9774bd08a,83
5e8731ed-3ce6-c065-eba5-44b35a44f9d7,71
5e87320a-877f-9493-4569-f1eff943b8fe,82
5e87322b-fdc5-11be-403c-5fc29074a0a2,82
5e873243-9c95-eb2e-54ec-567388a538fe,88
5e873247-3796-478a-7224-76c315bba488,81
5e873248-29a0-b09e-8642-ddf79bea46a7,46
5e873249-78c5-f2d4-e3c2-681ef62da807,70
5e87324d-9677-f2f0-e639-cf204d87ef69,23
5e87324d-9cac-187d-0ca0-496df095e363,79
5e873258-4271-52cd-34b3-8d3749197b98,87
5e87325b-df81-392a-0999-7f320849b493,79
5e87326b-aba8-6220-c19a-5ad7a3fe6d2e,71
5e873288-c8f3-7ed4-013c-3c5cefb23418,82
5e87329d-f199-180a-55a1-c54f5c46e793,98
5e8732f0-aeb9-7ac3-61ce-4074c156d374,47
5e873311-2b17-98fc-c832-882c5ccdbc38,75
5e87334a-35b8-2314-cafd-e7b989221457,80
5e87335d-09c9-d137-8e69-5a13b575bc5f,32
5e873393-6179-782a-d2a2-c2979bad70c7,8
5e873395-b80e-be79-976e-a9b7f9f1dfe5,110
5e8733ab-9b3e-3458-31e3-d8e939310185,102
5e8733ac-558b-15a9-a357-c12f5ef5c491,86
5e8733d3-c69e-c4b4-cf09-ad84062bcd6b,86
5e8733ef-c526-60d2-254a-1b452905c6ee,95
5e87340d-38d9-ee4b-1687-684347d688ce,79
5e873424-1af9-6941-5bd1-7e138fbd1b34,80
5e873432-52f9-cc02-45f9-9e42122ae7a0,86
5e87343d-c77b-2d83-7813-a1f53ee93820,91
5e87343e-7bb0-b140-d9ae-53e2798a7431,8
5e873455-0a74-1c05-7726-22029e334179,99
5e873460-706f-67bc-9d59-8d962ed99237,79
5e873470-2eec-bef9-2a7a-8547e82a837e,63
5e873471-077b-85ba-c7cb-86b9c003a249,85
5e873476-38f6-533e-595c-1a7ae2f62689,79
5e87348c-7c1b-1292-57c7-24d1b8ac6e34,69
5e8734ac-f9ea-89d3-cc95-23f9c3923b02,112
5e8734b4-fdd4-00f8-16f2-aea0351fc748,52
5e8734db-1ccf-1a26-8546-622ea0e957bb,55
5e8734de-5b6d-bcc3-0074-e70145e96f1e,39
5e8734f9-7006-f617-d008-0cc9223c4ff6,24
5e8734fd-501f-4f71-eede-6a1de39e8580,87
5e873513-03ab-052e-7779-1672e90a7b15,46
5e87351d-aba1-e0e7-1c75-425576128004,95
5e87351e-e0de-7afd-70af-add7f8e3344f,90
5e87351e-fd3a-273c-bad2-6dfd70d04601,91
5e873521-5222-72a9-9fc6-8c9f917c6471,84
5e873523-7558-961a-a5b6-c4799e15381b,112
5e873526-71ca-9449-a174-f617cc4fe91b,86
5e87352f-afd2-f76b-9768-820a8f6261fe,39
5e873531-63d3-fc40-4341-8913837a80b2,89
